,TF,Target,Label
0,FOXA1,MECR,1
1,FOXA1,MBIP,1
2,FOXA1,MRPS30,1
3,FOXA1,HDAC1,1
4,FOXA1,NFKBIZ,1
5,FOXA1,NCOA6,1
6,FOXA1,XPO6,1
7,FOXA1,TP53,1
8,FOXA1,C6orf203,1
9,FOXA1,MST1,1
10,FOXA1,MCRS1,1
11,FOXA1,C11orf1,1
12,FOXA1,CDK4,1
13,FOXA1,ZSWIM7,1
14,FOXA1,SERPINF1,1
15,FOXA1,DNPEP,1
16,FOXA1,DKC1,1
17,FOXA1,ASXL1,1
18,FOXA1,WDR75,1
19,FOXA1,TDP2,1
20,FOXA1,HPR,1
21,FOXA1,SIAE,1
22,FOXA1,PISD,1
23,FOXA1,IFT52,1
24,FOXA1,TCEA1,1
25,FOXA1,IDH3B,1
26,FOXA1,ZNF638,1
27,FOXA1,CTPS1,1
28,FOXA1,METAP1,1
29,FOXA1,VPS72,1
30,FOXA1,LIAS,1
31,FOXA1,TM4SF4,1
32,FOXA1,BRCA1,1
33,FOXA1,HGD,1
34,FOXA1,TTI2,1
35,FOXA1,ECD,1
36,FOXA1,BBS9,1
37,FOXA1,BUB1B,1
38,FOXA1,POLR1B,1
39,FOXA1,IL6ST,1
40,FOXA1,TF,1
41,FOXA1,TSR1,1
42,FOXA1,HJURP,1
43,FOXA1,HNRNPD,1
44,FOXA1,GCHFR,1
45,FOXA1,MAT2B,1
46,FOXA1,FOSL2,1
47,FOXA1,CDCA7L,1
48,FOXA1,NUPR1,1
49,FOXA1,VPS33A,1
50,FOXA1,BMPR1A,1
51,FOXA1,TATDN3,1
52,FOXA1,TYMS,1
53,FOXA1,USP1,1
54,FOXA1,NAA25,1
55,FOXA1,APOB,1
56,FOXA1,KPNA2,1
57,FOXA1,AMBP,1
58,FOXA1,MMS22L,1
59,FOXA1,SMLR1,1
60,FOXA1,NIP7,1
61,FOXA1,MRPS35,1
62,FOXA1,TNFAIP3,1
63,FOXA1,DCTPP1,1
64,FOXA1,LRRC40,1
65,FOXA1,WDR74,1
66,FOXA1,GTF2H3,1
67,FOXA1,TMEM41A,1
68,FOXA1,RCAN1,1
69,FOXA1,FOSB,1
70,FOXA1,TIPIN,1
71,FOXA1,DTWD1,1
72,FOXA1,ZNF300,1
73,FOXA1,MRPS2,1
74,FOXA1,KIF20A,1
75,FOXA1,AMZ2,1
76,FOXA1,NUP35,1
77,FOXA1,G2E3,1
78,FOXA1,TAF1B,1
79,FOXA1,SHMT2,1
80,FOXA1,ORC5,1
81,FOXA1,MRPL10,1
82,FOXA1,BCKDK,1
83,FOXA1,KIZ,1
84,FOXA1,C17orf75,1
85,FOXA1,CDCA3,1
86,FOXA1,RIOK1,1
87,FOXA1,UCHL5,1
88,FOXA1,APOA2,1
89,FOXA1,HNRNPUL1,1
90,FOXA1,RNASE4,1
91,FOXA1,NUP37,1
92,FOXA1,HPN,1
93,FOXA1,MYC,1
94,FOXA1,KEAP1,1
95,FOXA1,GGPS1,1
96,FOXA1,SS18,1
97,FOXA1,ZNF670,1
98,FOXA1,SOX2,1
99,FOXA1,C12orf10,1
100,FOXA1,PAX6,1
101,FOXA1,ID2,1
102,FOXA1,HAT1,1
103,FOXA1,EXOSC5,1
104,FOXA1,KIFAP3,1
105,FOXA1,ATIC,1
106,FOXA1,CMC2,1
107,FOXA1,ORC6,1
108,FOXA1,TMEM69,1
109,FOXA1,C1GALT1,1
110,FOXA1,ATG101,1
111,FOXA1,RNF19A,1
112,FOXA1,FXR1,1
113,FOXA1,LEFTY1,1
114,FOXA1,TMEM237,1
115,FOXA1,PLG,1
116,FOXA1,AHSG,1
117,FOXA1,KLF6,1
118,FOXA1,NEDD1,1
119,FOXA1,UFSP2,1
120,FOXA1,ELOVL6,1
121,FOXA1,POLR2L,1
122,FOXA1,NUP88,1
123,FOXA1,RAI14,1
124,FOXA1,DNMT3A,1
125,FOXA1,FOXA2,1
126,FOXA1,MCM4,1
127,FOXA1,ESPL1,1
128,FOXA1,CEP70,1
129,FOXA1,SQLE,1
130,FOXA1,HMGA2,1
131,FOXA1,PEMT,1
132,FOXA1,ORC4,1
133,FOXA1,NIF3L1,1
134,FOXA1,RUVBL2,1
135,FOXA1,KAT7,1
136,FOXA1,PPCDC,1
137,FOXA1,DDX54,1
138,FOXA1,TM4SF5,1
139,FOXA1,ZNRD1,1
140,FOXA1,COQ3,1
141,FOXA1,ZWILCH,1
142,FOXA1,SEPT10,1
143,FOXA1,TUBA1B,1
144,FOXA1,TMEM150C,1
145,FOXA1,APPL2,1
146,FOXA1,NDUFAF5,1
147,FOXA1,SLC7A6,1
148,FOXA1,ZNF217,1
149,FOXA1,ETV5,1
150,FOXA1,ATG4C,1
151,FOXA1,ASNS,1
152,FOXA1,MAF,1
153,FOXA1,ELF1,1
154,FOXA1,AFF4,1
155,FOXA1,AEBP2,1
156,FOXA1,MYO10,1
157,FOXA1,XRCC5,1
158,FOXA1,KATNA1,1
159,FOXA1,EXOSC2,1
160,FOXA1,EFTUD2,1
161,FOXA1,TTLL4,1
162,FOXA1,DOT1L,1
163,FOXA1,GGCT,1
164,FOXA1,TDP1,1
165,FOXA1,HIST1H1C,1
166,FOXA1,ASPH,1
167,FOXA1,SERTAD3,1
168,FOXA1,PWP1,1
169,FOXA1,UCKL1,1
170,FOXA1,IMP4,1
171,FOXA1,MED20,1
172,FOXA1,APEX1,1
173,FOXA1,PLIN2,1
174,FOXA1,CRBN,1
175,FOXA1,PHB2,1
176,FOXA1,ASGR1,1
177,FOXA1,PROSER1,1
178,FOXA1,MRPS27,1
179,FOXA1,AKR1C3,1
180,FOXA1,RRM2B,1
181,FOXA1,NUP54,1
182,FOXA1,ELP2,1
183,FOXA1,ACADSB,1
184,FOXA1,RBM39,1
185,FOXA1,SLC5A6,1
