,TF,Target,Label
0,GATA2,TMEM206,1
1,GATA2,COL4A1,1
2,GATA2,TIPIN,1
3,GATA2,SLC35D3,1
4,GATA2,MCM4,1
5,GATA2,TRIM16,1
6,GATA2,IKZF1,1
7,GATA2,PDE1B,1
8,GATA2,LYN,1
9,GATA2,SERPINF1,1
10,GATA2,SLC39A13,1
11,GATA2,TTC39B,1
12,GATA2,CD48,1
13,GATA2,DHRS3,1
14,GATA2,MYC,1
15,GATA2,CISH,1
16,GATA2,FLNA,1
17,GATA2,SLC39A6,1
18,GATA2,ARHGEF18,1
19,GATA2,TNS2,1
20,GATA2,SAMSN1,1
21,GATA2,FOXO1,1
22,GATA2,NCAPD2,1
23,GATA2,ITSN1,1
24,GATA2,CD81,1
25,GATA2,PIRB,1
26,GATA2,SPNS3,1
27,GATA2,ELOVL5,1
28,GATA2,SLFN2,1
29,GATA2,MOGS,1
30,GATA2,IFI27,1
31,GATA2,NUCB2,1
32,GATA2,ANKRD44,1
33,GATA2,SAT1,1
34,GATA2,SPI1,1
35,GATA2,ZNRF2,1
36,GATA2,CCT2,1
37,GATA2,FADS1,1
38,GATA2,ABHD17B,1
39,GATA2,PGR,1
40,GATA2,CDT1,1
41,GATA2,SERPINB6A,1
42,GATA2,FCGRT,1
43,GATA2,SERPINB1A,1
44,GATA2,NFIA,1
45,GATA2,CD9,1
46,GATA2,ANGPT1,1
47,GATA2,GGT5,1
48,GATA2,ANXA2,1
49,GATA2,APP,1
50,GATA2,HNRNPAB,1
51,GATA2,SLC18A2,1
52,GATA2,STARD4,1
53,GATA2,JAM3,1
54,GATA2,SLC29A1,1
55,GATA2,ENPP5,1
56,GATA2,RUNX1T1,1
57,GATA2,GGTA1,1
58,GATA2,MGAT1,1
59,GATA2,RUNX2,1
60,GATA2,PBX1,1
61,GATA2,CPQ,1
62,GATA2,LONP2,1
63,GATA2,SSH2,1
64,GATA2,PLSCR4,1
65,GATA2,CD7,1
66,GATA2,TXNIP,1
67,GATA2,CD33,1
68,GATA2,CTNNAL1,1
69,GATA2,NUPR1,1
70,GATA2,D630039A03RIK,1
71,GATA2,DYNLL1,1
72,GATA2,ARPP21,1
73,GATA2,COL4A2,1
74,GATA2,ANXA5,1
75,GATA2,PRKCH,1
76,GATA2,ITGA6,1
77,GATA2,SLC2A3,1
78,GATA2,TFR2,1
79,GATA2,IGFBP4,1
80,GATA2,CCDC112,1
81,GATA2,CD63,1
82,GATA2,NDRG2,1
83,GATA2,JPT1,1
84,GATA2,WLS,1
85,GATA2,LSP1,1
86,GATA2,PYGL,1
87,GATA2,SLBP,1
88,GATA2,VAMP5,1
89,GATA2,ZFP62,1
90,GATA2,ANKRD33B,1
91,GATA2,SDC1,1
92,GATA2,ST8SIA4,1
93,GATA2,PRPS2,1
94,GATA2,PECAM1,1
95,GATA2,NLRC3,1
96,GATA2,CD52,1
97,GATA2,CTSH,1
98,GATA2,ARHGEF39,1
99,GATA2,GM973,1
100,GATA2,H2-DMA,1
101,GATA2,PRSS57,1
102,GATA2,TMEM268,1
103,GATA2,CTSL,1
104,GATA2,ADSSL1,1
105,GATA2,ABCG2,1
106,GATA2,PSTPIP1,1
107,GATA2,PF4,1
108,GATA2,ADGRG3,1
109,GATA2,ERP29,1
110,GATA2,P2RY14,1
111,GATA2,SOCS2,1
112,GATA2,CLIP3,1
113,GATA2,RASA4,1
114,GATA2,MAML3,1
115,GATA2,RAB38,1
116,GATA2,UBE2L6,1
117,GATA2,MECOM,1
118,GATA2,FGD2,1
119,GATA2,SLC18A1,1
120,GATA2,TYROBP,1
121,GATA2,ARHGAP27,1
122,GATA2,NUDT19,1
123,GATA2,DOCK11,1
124,GATA2,GBP9,1
125,GATA2,RNF13,1
126,GATA2,SERP1,1
127,GATA2,PLXDC2,1
128,GATA2,PLIN3,1
129,GATA2,PTPRE,1
130,GATA2,NEURL3,1
131,GATA2,FCHO2,1
132,GATA2,SATB1,1
133,GATA2,NCEH1,1
134,GATA2,CDK19,1
135,GATA2,SELENOP,1
136,GATA2,RNF38,1
137,GATA2,APLP2,1
138,GATA2,TRAF1,1
139,GATA2,KLF6,1
140,GATA2,SNAP47,1
141,GATA2,TESPA1,1
142,GATA2,FDFT1,1
143,GATA2,GM4951,1
144,GATA2,HLF,1
145,GATA2,GFI1B,1
146,GATA2,CD244A,1
147,GATA2,LACTB,1
148,GATA2,MAN1A,1
149,GATA2,P2RX1,1
150,GATA2,XPC,1
151,GATA2,FUCA2,1
152,GATA2,CD93,1
153,GATA2,ARHGAP18,1
154,GATA2,PRNP,1
155,GATA2,SPC24,1
156,GATA2,MLLT3,1
157,GATA2,UAP1L1,1
158,GATA2,GBP2,1
159,GATA2,NR3C2,1
160,GATA2,TM6SF1,1
161,GATA2,PGRMC1,1
162,GATA2,ARRDC4,1
163,GATA2,FUT8,1
164,GATA2,MMRN1,1
165,GATA2,FHL1,1
166,GATA2,COQ8A,1
167,GATA2,CBFB,1
168,GATA2,OTUB2,1
169,GATA2,MCM5,1
170,GATA2,PPP1R15A,1
171,GATA2,PRUNE2,1
172,GATA2,CTR9,1
173,GATA2,ZFP367,1
174,GATA2,ITGB7,1
175,GATA2,ZMIZ1,1
176,GATA2,GMNN,1
177,GATA2,SYK,1
178,GATA2,IRF6,1
179,GATA2,METTL7A1,1
180,GATA2,VAV3,1
181,GATA2,CCNG2,1
182,GATA2,AP1S2,1
183,GATA2,EFNA1,1
184,GATA2,USP11,1
185,GATA2,SPNS2,1
186,GATA2,IFI27L2A,1
187,GATA2,MPZL1,1
188,GATA2,PAG1,1
189,GATA2,CD44,1
190,GATA2,REL,1
191,GATA2,FRMD6,1
192,GATA2,STK10,1
193,GATA2,CTSF,1
194,GATA2,AMPD2,1
195,GATA2,KLF3,1
196,GATA2,OSGIN1,1
197,GATA2,LRRC8C,1
198,GATA2,RAB27B,1
199,GATA2,ZFP422,1
200,GATA2,RHOF,1
201,GATA2,ITGB2,1
202,GATA2,KIF17,1
203,GATA2,STK17B,1
204,GATA2,CD55,1
205,GATA2,YBX1,1
206,GATA2,BTLA,1
207,GATA2,DCK,1
208,GATA2,TES,1
209,GATA2,HMGB2,1
210,GATA2,GNG2,1
211,GATA2,AKNA,1
212,GATA2,S100A6,1
213,GATA2,PTP4A3,1
214,GATA2,UNC93B1,1
215,GATA2,FSTL1,1
216,GATA2,PPCDC,1
217,GATA2,PPM1G,1
218,GATA2,PDGFRB,1
219,GATA2,SLC26A11,1
220,GATA2,NT5C3,1
221,GATA2,BTG2,1
222,GATA2,NHP2,1
223,GATA2,LAX1,1
224,GATA2,NRROS,1
225,GATA2,SELPLG,1
226,GATA2,MKI67,1
227,ELF1,AMPD2,1
228,ELF1,TYROBP,1
229,ELF1,ITGB2,1
230,ELF1,CCT2,1
231,ELF1,RHOH,1
232,ELF1,TUBB4B,1
233,ELF1,TXNIP,1
234,ELF1,PRKCH,1
235,ELF1,LSP1,1
236,ELF1,UBASH3A,1
237,ELF1,ATP8B4,1
238,ELF1,ANXA5,1
239,ELF1,ITPR2,1
240,ELF1,OAS2,1
241,ELF1,CAPG,1
242,ELF1,H2-DMA,1
243,ELF1,TMEM173,1
244,ELF1,IFI209,1
245,ELF1,FCRL1,1
246,ELF1,IFI213,1
247,ELF1,GMNN,1
248,ELF1,PLD4,1
249,ELF1,UNC93B1,1
250,ELF1,GBP4,1
251,ELF1,TBC1D5,1
252,ELF1,PTPRE,1
253,ELF1,EYA2,1
254,ELF1,POLA2,1
255,ELF1,NUCB2,1
256,ELF1,PIRB,1
257,ELF1,LY9,1
258,ELF1,AKNA,1
259,ELF1,TM6SF1,1
260,ELF1,SERPINB6A,1
261,ELF1,TMEM123,1
262,ELF1,GPR171,1
263,ELF1,XPC,1
264,ELF1,CMAH,1
265,ELF1,CD69,1
266,ELF1,LTB,1
267,ELF1,MEIS1,1
268,ELF1,P2RY14,1
269,ELF1,IL7R,1
270,ELF1,DOCK10,1
271,ELF1,GAS2L3,1
272,ELF1,CISH,1
273,ELF1,CBFB,1
274,ELF1,XRCC6,1
275,ELF1,CYFIP2,1
276,ELF1,CCNG2,1
277,ELF1,ELOVL5,1
278,ELF1,NCAPD2,1
279,ELF1,KAZALD1,1
280,ELF1,RASAL3,1
281,ELF1,PARP8,1
282,ELF1,FUT7,1
283,ELF1,TMEM14C,1
284,ELF1,REL,1
285,ELF1,SYK,1
286,ELF1,CD48,1
287,ELF1,FRMD6,1
288,ELF1,GSTM1,1
289,ELF1,SLC44A2,1
290,ELF1,ARHGAP18,1
291,ELF1,NEURL3,1
292,ELF1,SLBP,1
293,ELF1,SLC39A13,1
294,ELF1,USP11,1
295,ELF1,SERP1,1
296,ELF1,ARHGAP15,1
297,ELF1,DTL,1
298,ELF1,SLAMF1,1
299,ELF1,VAMP5,1
300,ELF1,H1F0,1
301,ELF1,PARVG,1
302,ELF1,BTLA,1
303,ELF1,NUDT19,1
304,ELF1,CDK19,1
305,ELF1,MCM5,1
306,ELF1,ARPP21,1
307,ELF1,TESPA1,1
308,ELF1,CCL9,1
309,ELF1,CCR7,1
310,ELF1,ZNRF2,1
311,ELF1,DENND2D,1
312,ELF1,NRROS,1
313,ELF1,LYN,1
314,ELF1,SLCO3A1,1
315,ELF1,CTSS,1
316,ELF1,EFNA1,1
317,ELF1,UBA7,1
318,ELF1,CTR9,1
319,ELF1,RNF13,1
320,ELF1,LONP2,1
321,ELF1,SLC43A2,1
322,ELF1,FUCA2,1
323,ELF1,IL17RA,1
324,ELF1,DOCK11,1
325,ELF1,TRIM47,1
326,ELF1,CST7,1
327,ELF1,SAT1,1
328,ELF1,ME2,1
329,ELF1,CBX7,1
330,ELF1,MOGS,1
331,ELF1,NCEH1,1
332,ELF1,PKN3,1
333,ELF1,GIMAP8,1
334,ELF1,ARL11,1
335,ELF1,HSD3B7,1
336,ELF1,HNRNPAB,1
337,ELF1,RANBP1,1
338,ELF1,GIMAP1,1
339,ELF1,SLC39A6,1
340,ELF1,MCM4,1
341,ELF1,OSGIN1,1
342,ELF1,ABHD17B,1
343,ELF1,CIPC,1
344,ELF1,ZFP367,1
345,ELF1,FGD2,1
346,ELF1,TFEC,1
347,ELF1,WFDC17,1
348,ELF1,SPNS3,1
349,ELF1,FUT8,1
350,ELF1,SELPLG,1
351,ELF1,STARD4,1
352,ELF1,PSTPIP1,1
353,ELF1,CTSB,1
354,ELF1,ITGA6,1
355,ELF1,PPP1R15A,1
356,ELF1,ZFP62,1
357,ELF1,IKZF1,1
358,ELF1,AP1S2,1
359,ELF1,LCK,1
360,ELF1,RUNX2,1
361,ELF1,IFI27,1
362,ELF1,ENG,1
363,ELF1,PPM1G,1
364,ELF1,VAMP1,1
365,CBX7,NCEH1,1
366,CBX7,VDR,1
367,CBX7,GSN,1
368,CBX7,D630039A03RIK,1
369,CBX7,JAM3,1
370,CBX7,MLLT3,1
371,CBX7,RCSD1,1
372,CBX7,KBTBD11,1
373,CBX7,NDRG2,1
374,CBX7,LYN,1
375,CBX7,ADSSL1,1
376,CBX7,LPCAT2,1
377,CBX7,IRF8,1
378,CBX7,SNAP23,1
379,CBX7,PPIC,1
380,CBX7,SPNS2,1
381,CBX7,DENND2D,1
382,CBX7,PKIB,1
383,CBX7,DUSP5,1
384,CBX7,ST8SIA4,1
385,CBX7,FHL1,1
386,CBX7,CAV2,1
387,CBX7,SLC18A2,1
388,CBX7,TMEM246,1
389,CBX7,OBSCN,1
390,CBX7,PRDM16,1
391,CBX7,GAA,1
392,CBX7,SLCO3A1,1
393,CBX7,FSTL1,1
394,CBX7,MECOM,1
395,CBX7,VAMP5,1
396,CBX7,EEPD1,1
397,CBX7,XRCC6,1
398,CBX7,ANGPT1,1
399,CBX7,ARRDC4,1
400,CBX7,PLXDC2,1
401,CBX7,FADS1,1
402,CBX7,FAM171A1,1
403,CBX7,IGFBP4,1
404,CBX7,SLC18A1,1
405,CBX7,DUSP1,1
406,CBX7,F2R,1
407,CBX7,PYGL,1
408,CBX7,CDK6,1
409,CBX7,SATB1,1
410,CBX7,TMEM37,1
411,CBX7,CD44,1
412,CBX7,ANKRD44,1
413,CBX7,STK10,1
414,CBX7,TM6SF1,1
415,CBX7,SOX18,1
416,CBX7,CTSL,1
417,CBX7,HLF,1
418,CBX7,PTP4A3,1
419,CBX7,FDFT1,1
420,CBX7,APP,1
421,CBX7,FAM110C,1
422,CBX7,IRAK3,1
423,CBX7,PLPPR3,1
424,CBX7,TBC1D5,1
425,CBX7,NDN,1
426,CBX7,SLC39A13,1
427,CBX7,MEIS1,1
428,CBX7,CDKN1C,1
429,CBX7,BCL2,1
430,CBX7,FRMD6,1
431,CBX7,ANXA2,1
432,CBX7,NFIA,1
433,CBX7,CADPS2,1
434,CBX7,PANX1,1
435,CBX7,IRF6,1
436,CBX7,SH2D5,1
437,CBX7,CTSH,1
438,CBX7,TSC22D3,1
439,CBX7,RAB27B,1
440,CBX7,TRPC6,1
441,CBX7,COQ8A,1
442,CBX7,REL,1
443,CBX7,H2-Q6,1
444,CBX7,H1F0,1
445,CBX7,MSMO1,1
446,CBX7,PAG1,1
447,CBX7,FCHO2,1
448,CBX7,SERP1,1
449,CBX7,HDAC7,1
450,CBX7,SSH2,1
451,CBX7,EYA2,1
452,CBX7,RUNX1T1,1
453,CBX7,AFF3,1
454,CBX7,LRRC8C,1
455,CBX7,MAN1A,1
456,CBX7,IKZF1,1
457,CBX7,SSTR2,1
458,CBX7,RAB38,1
459,CBX7,VEGFC,1
460,CBX7,TNFAIP2,1
461,CBX7,NAV1,1
462,CBX7,XPC,1
463,CBX7,CDK18,1
464,CBX7,PTPRE,1
465,CBX7,PRUNE2,1
466,CBX7,KAZALD1,1
467,CBX7,OTULINL,1
468,CBX7,SEMA3D,1
469,CBX7,CPXM1,1
470,CBX7,TRIM47,1
471,CBX7,FLT3,1
472,CBX7,TXNIP,1
473,CBX7,WLS,1
474,CBX7,SYK,1
475,CBX7,KRT18,1
476,CBX7,COL4A2,1
477,CBX7,CD34,1
478,CBX7,ANXA5,1
479,CBX7,HID1,1
480,CBX7,RNF213,1
481,CBX7,COL4A1,1
482,CBX7,DPP4,1
483,CBX7,ARPP21,1
484,CBX7,TIPIN,1
485,CBX7,SMPDL3A,1
486,CBX7,SLC16A10,1
487,CBX7,PTGS1,1
488,CBX7,IL1R1,1
489,CBX7,RARB,1
490,CBX7,FGD5,1
491,CBX7,IL17RA,1
492,CBX7,RFTN1,1
493,CBX7,STXBP1,1
494,CBX7,SLC26A11,1
495,CBX7,RUNX2,1
496,CBX7,MEF2C,1
497,MYC,FHL1,1
498,MYC,APLP2,1
499,MYC,MYLK,1
500,MYC,ADGRG3,1
501,MYC,GM973,1
502,MYC,CTSW,1
503,MYC,SMPDL3A,1
504,MYC,RARB,1
505,MYC,MEF2C,1
506,MYC,CTSH,1
507,MYC,PIRB,1
508,MYC,EMP1,1
509,MYC,CD69,1
510,MYC,MKI67,1
511,MYC,NT5C3,1
512,MYC,SULT1A1,1
513,MYC,5430427O19RIK,1
514,MYC,CD44,1
515,MYC,LDHD,1
516,MYC,PRSS57,1
517,MYC,GAA,1
518,MYC,OBSCN,1
519,MYC,PRPS2,1
520,MYC,GDF3,1
521,MYC,H2-OB,1
522,MYC,CCT2,1
523,MYC,TSPAN3,1
524,MYC,ARPP21,1
525,MYC,UBASH3A,1
526,MYC,ITGAL,1
527,MYC,DENND2D,1
528,MYC,ESR1,1
529,MYC,TEAD2,1
530,MYC,FRMD6,1
531,MYC,MAMDC2,1
532,MYC,SDSL,1
533,MYC,NPDC1,1
534,MYC,CISH,1
535,MYC,SYTL1,1
536,MYC,ANXA2,1
537,MYC,YBX1,1
538,MYC,APP,1
539,MYC,RANBP1,1
540,MYC,GSTT1,1
541,MYC,COQ8A,1
542,MYC,LRRC8C,1
543,MYC,ABHD17B,1
544,MYC,RHOH,1
545,MYC,SSH2,1
546,MYC,MPZL1,1
547,MYC,ABCG2,1
548,MYC,F2R,1
549,MYC,GATA2,1
550,MYC,TSPAN2,1
551,MYC,UAP1L1,1
552,MYC,CD63,1
553,MYC,SLC26A11,1
554,MYC,PRNP,1
555,MYC,PSTPIP1,1
556,MYC,CD53,1
557,MYC,TTC39B,1
558,MYC,SOX18,1
559,MYC,CDK18,1
560,MYC,TMEM37,1
561,MYC,MN1,1
562,MYC,HMGB2,1
563,MYC,PAQR5,1
564,MYC,CASP12,1
565,MYC,CTSF,1
566,MYC,SLC43A2,1
567,MYC,ARHGAP15,1
568,MYC,DUSP6,1
569,MYC,VAMP1,1
570,MYC,CADPS2,1
571,MYC,GMNN,1
572,MYC,ENPP5,1
573,MYC,DUSP1,1
574,MYC,VLDLR,1
575,MYC,PLD4,1
576,MYC,IRF8,1
577,MYC,CORO7,1
578,MYC,FLNA,1
579,MYC,FLT3,1
580,MYC,PANX1,1
581,MYC,MAN1A,1
582,MYC,AFDN,1
583,MYC,FOXO1,1
584,MYC,ERP29,1
585,MYC,CSGALNACT1,1
586,MYC,KBTBD11,1
587,MYC,PYGL,1
588,MYC,JAM3,1
589,MYC,CD74,1
590,MYC,FCRL1,1
591,MYC,ZNRF2,1
592,MYC,TMEM14C,1
593,MYC,MCTP2,1
594,MYC,SPNS3,1
595,MYC,TBXA2R,1
596,MYC,CCL9,1
597,MYC,ARRDC4,1
598,MYC,RASSF2,1
599,MYC,NEURL3,1
600,MYC,TAPT1,1
601,MYC,GNG11,1
602,MYC,SLC18A1,1
603,MYC,NFIA,1
604,MYC,SERPINB6A,1
605,MYC,IFI27,1
606,MYC,APOE,1
607,MYC,WLS,1
608,MYC,ARID5A,1
609,MYC,IGFBP4,1
610,MYC,CERS4,1
611,MYC,IKZF1,1
612,MYC,GFI1B,1
613,MYC,WFDC2,1
614,MYC,ITPR2,1
615,MYC,FAM110C,1
616,MYC,CD48,1
617,MYC,SLC16A10,1
618,MYC,STARD4,1
619,MYC,TOP2A,1
620,MYC,TBXAS1,1
621,MYC,PGRMC1,1
622,MYC,HLF,1
623,MYC,CLIP3,1
624,MYC,FUT7,1
625,MYC,LAX1,1
626,MYC,GNG2,1
627,MYC,PAFAH2,1
628,MYC,COL4A1,1
629,MYC,CTTN,1
630,MYC,MGAT1,1
631,MYC,CAMK1D,1
632,MYC,ME2,1
633,MYC,SLBP,1
634,MYC,ZFP62,1
635,MYC,EEPD1,1
636,MYC,ZFP367,1
637,MYC,RBPMS,1
638,MYC,CD81,1
639,MYC,SERPINA3F,1
640,MYC,IL1R1,1
641,MYC,SAT1,1
642,MYC,DHRS3,1
643,MYC,STXBP1,1
644,MYC,SLC2A3,1
645,MYC,NCAPD2,1
646,MYC,SLC22A3,1
647,MYC,SNAP47,1
648,MYC,FCHO2,1
649,MYC,CYFIP2,1
650,MYC,PRKCH,1
651,MYC,ZBTB20,1
652,MYC,SERPINF1,1
653,MYC,CDK17,1
654,MYC,CD55,1
655,MYC,CDT1,1
656,MYC,ZMIZ1,1
657,MYC,GBP4,1
658,MYC,EBI3,1
659,MYC,F11R,1
660,MYC,RNF38,1
661,MYC,PLXNC1,1
662,MYC,GIMAP8,1
663,MYC,LSP1,1
664,MYC,SLC39A6,1
665,MYC,FUCA2,1
666,MYC,SNAP23,1
667,MYC,TES,1
668,MYC,RP2,1
669,MYC,TBC1D5,1
670,MYC,CD9,1
671,MYC,DYNLL1,1
672,MYC,CRIP1,1
673,MYC,MOGS,1
674,MYC,CDK6,1
675,MYC,EPSTI1,1
676,MYC,PLIN3,1
